Language,Training Hours,CER,Language_full,CER_appreciation
bag_Latn,8.1,6.2,tuki,Bon
bas_Latn,59.8,9.7,bassa,Bon
bax_Latn,7.5,8.0,bamoun,Bon
bbj_Latn,8.9,17.7,ngomala,Moyen
bkh_Latn,6.0,5.6,bakoko,Bon
bkm_Latn,8.6,17.4,kom,Moyen
bum_Latn,28.2,8.8,bulu,Bon
dua_Latn,26.9,5.4,duala,Bon
eto_Latn,6.3,15.1,eton,Moyen
ewo_Latn,10.5,17.0,ewondo,Moyen
fmp_Latn,8.5,19.0,feʼfeʼ(Nufi),Moyen
fub_Latn,10.4,5.2,fulfulde,Bon
lme_Latn,16.7,2.7,pévé,Excellent
lns_Latn,40.5,1.8,nso,Excellent
mcp_Latn,40.8,2.8,makaa,Excellent
mcu_Latn,23.6,2.1,mambila,Excellent
mpg_Latn,17.9,1.5,marba,Excellent
mxu_Latn,9.3,11.0,mada,Moyen
oku_Latn,35.5,2.7,oku,Excellent
wes_Latn,22.5,3.1,cameroon_pidgin,Excellent
zim_Latn,48.1,0.6,mesmé,Excellent
